star,magnitude,temp,type
Sun,4.8,5840,G
SiriusA,1.4,9620,A
Canopus,-3.1,7400,F
Arcturus,-0.4,4590,K
AlphaCentauriA,4.3,5840,G
Vega,0.5,9900,A
Capella,-0.6,5150,G
Rigel,-7.2,12140,B
ProcyonA,2.6,6580,F
Betelgeuse,-5.7,3200,M
Achemar,-2.4,20500,B
Hadar,-5.3,25500,B
Altair,2.2,8060,A
Aldebaran,-0.8,4130,K
Spica,-3.4,25500,B
Antares,-5.2,3340,M
Fomalhaut,2,9060,A
Pollux,1,4900,K
Deneb,-7.2,9340,A
BetaCrucis,-4.7,28000,B
Regulus,-0.8,13260,B
Acrux,-4,28000,B
Adhara,-5.2,23000,B
Shaula,-3.4,25500,B
Bellatrix,-4.3,23000,B
Castor,1.2,9620,A
Gacrux,-0.5,3750,M
BetaCentauri,-5.1,25500,B
AlphaCentauriB,5.8,4730,K
AlNa'ir,-1.1,15550,B
Miaplacidus,-0.6,9300,A
Elnath,-1.6,12400,B
Alnilam,-6.2,26950,B
Mirfak,-4.6,7700,F
Alnitak,-5.9,33600,O
Dubhe,0.2,4900,K
Alioth,0.4,9900,A
Peacock,-2.3,20500,B
KausAustralis,-0.3,11000,B
ThetaScorpii,-5.6,7400,F
Atria,-0.1,4590,K
Alkaid,-1.7,20500,B
AlphaCrucisB,-3.3,20500,B
Avior,-2.1,4900,K
DeltaCanisMajoris,-8,6100,F
Alhena,0,9900,A
Menkalinan,0.6,9340,A
Polaris,-4.6,6100,F
Mirzam,-4.8,25500,B
DeltaVulpeculae,0.6,9900,A
*ProximaCentauri,15.5,2670,M
*AlphaCentauriB,5.8,4900,K
Barnard'sStar,13.2,2800,M
Wolf359,16.7,2670,M
HD93735,10.5,3200,M
*L726-8,15.5,2670,M
*UVCeti,16,2670,M
*SiriusA,1.4,9620,A
*SiriusB,11.2,14800,DA
Ross154,13.1,2800,M
Ross248,14.8,2670,M
EpsilonEridani,6.1,4590,K
Ross128,13.5,2800,M
L789-6,14.5,2670,M
*GXAndromedae,10.4,3340,M
*GQAndromedae,13.4,2670,M
EpsilonIndi,7,4130,K
*61CygniA,7.6,4130,K
*61CygniB,8.4,3870,K
*Struve2398A,11.2,3070,M
*Struve2398B,11.9,2940,M
TauCeti,5.7,5150,G
*ProcyonA,2.6,6600,F
*ProcyonB,13,9700,DF
Lacaille9352,9.6,3340,M
G51-I5,17,2500,M
YZCeti,14.1,2670,M
BD+051668,11.9,2800,M
Lacaille8760,8.7,3340,K
KapteynsStar,10.9,3480,M
*Kruger60A,11.9,2940,M
*Kruger60B,13.3,2670,M
BD-124523,12.1,2940,M
Ross614A,13.1,2800,M
Wolf424A,15,2670,M
vanMaanen'sStar,14.2,13000,DB
TZArietis,14,2800,M
HD225213,10.3,3200,M
Altair,2.2,8060,A
ADLeonis,11,2940,M
*40EridaniA,6,4900,K
*40EridaniB,11.1,10000,DA
*40EridaniC,12.8,2940,M
*70OphiuchiA,5.8,4950,K
*70OphiuchiB,7.5,3870,K
EVLacertae,11.7,2800,M
